"Location","Freq","lng","lat","radius"
"E 9th St",8340,-73.994297,40.732165,91.323600454647
"Park Pl",8305,-73.9311330784453,41.78139135,91.1317727249942
"Bleecker St",8288,-74.0044748,40.7337978,91.0384534139283
"E 38th St",8201,-73.9298168,40.6106251,90.5593727893474
"Greenpoint Ave",8169,-73.9402955,40.733293,90.3825204339866
"Lafayette St",8148,-73.9947115,40.7258521,90.2662727711741
"37th St",8143,-73.926474,40.7520713,90.2385726837476
"E 33rd St",8142,-73.9368975,40.6113788,90.2330316458446
"W Broadway",8131,-73.9389158,41.0923274,90.1720577562695
"Sutphin Blvd",8093,-73.8100753,40.7055897,89.9611027055582
"Valentine Ave",8079,-73.9010121,40.8483693,89.8832576178679
"Arthur Ave",8068,-73.887568,40.855556,89.8220462915425
"W 13th St",8054,-73.997341,40.736668,89.7440805847383
"Smith St",8030,-73.5782861,40.65325,89.6102672688794
"E 30th St",8017,-73.9762848,40.7416698,89.5377015563835
"Williamsbridge Rd",8010,-73.8440591,40.8422531,89.4986033410578
"E 57th St",7984,-73.9196684,40.615023,89.3532316147547
"Walton Ave",7982,-73.927298,40.8215451,89.3420393767682
"E 19th St",7785,-73.9621358,40.6496994,88.2326470191165
"Bainbridge Ave",7755,-73.879455,40.874976,88.062477821147
"Remsen St",7755,-73.9946181,40.6941219,88.062477821147
"Mercer St",7740,-73.995585,40.7282036,87.9772697916911
"Union St",7711,-73.9831945,40.677186,87.8122998218359
"W 25th St",7677,-73.9916599,40.5729955,87.6184911990614
"University Ave",7640,-77.5685972,43.1509437,87.4070935336486
"Murray St",7598,-73.6517497,43.3047125,87.1665073293636
"E 28th St",7568,-73.9508058,40.6444432,86.9942526837262
"E 4th St",7528,-73.969094,40.604551,86.7640478539355
"Ditmars Blvd",7524,-73.9196722,40.7824664,86.7409937688058
"47th St",7500,-73.9153861,40.753907,86.6025403784439
"Pacific St",7496,-73.9083461,40.6753844,86.5794432876534
"McDonald Ave",7488,-73.9798789,40.6451091,86.5332306111357
"E 7th St",7468,-73.9746306,40.6504505,86.4175908018732
"E Broadway",7450,-73.9901665,40.7141222,86.3133825081603
"E 71st St",7427,-73.967534,40.771776,86.180044093746
"3 AVE",7406,-74.144941,40.600409,86.0581198958007
"W 22nd St",7383,-73.9895484,40.5790874,85.9243853629457
"31st Ave",7335,-73.9265628,40.7657764,85.6446145417212
"W 29th St",7291,-73.99545,40.575808,85.3873526934756
"E 35th St",7290,-73.9423398,40.628347,85.3814968245462
"35th Ave",7275,-73.9245059,40.7562613,85.2936105461599
"E 26th St",7232,-73.9426626,40.5841214,85.0411665018772
"Mulberry St",7220,-73.9972983,40.7193413,84.970583144992
"W 24th St",7202,-73.9911324,40.5759409,84.8645980371085
"46th St",7191,-73.9140858,40.7566484,84.7997641506154
"Water St",7190,-74.185461,42.94842,84.7938677028003
"E 70th St",7177,-73.90893,40.620062,84.717176534632
"108th St",7176,-73.847895,40.729619,84.7112743381895
"Allen St",7176,-73.868376,42.227477,84.7112743381895
"Lenox Ave",7172,-75.248305,43.105369,84.6876614389605
"E 87th St",7171,-73.8972471,40.6290028,84.6817571853584
"14th Ave",7168,-73.8318475,40.7861405,84.6640419540669
"E 29th St",7130,-73.9428265,40.599991,84.4393273303382
"Ft Washington Ave",7119,-73.9389728,40.849252,84.3741666625514
"Crosby St",7095,-73.9956638,40.7254397,84.2318229649578
"LEXINGTON AVE",7086,-73.9603164,40.7730129,84.1783820229398
"E 63rd St",7070,-73.910704,40.609221,84.0832920383116
"West End Ave",7066,-73.9869457,40.7764553,84.05950273467
"45th St",7053,-74.0096111,40.6492944,83.9821409586586
"43rd St",7039,-73.9215345,40.7432362,83.8987485007971
"W 17th St",7039,-73.9845266,40.5753405,83.8987485007971
"150th St",6959,-73.808046,40.709357,83.4206209518965
"Parsons Blvd",6953,-73.8037847,40.7073827,83.3846508657319
"43rd Ave",6879,-73.9295048,40.7462043,82.9397371589759
"85th St",6848,-73.863794,40.703334,82.7526434623088
"Vanderbilt Ave",6834,-73.977432,40.753717,82.6680107417615
"E 44th St",6762,-73.9784549,40.7541522,82.2313808712951
"Lafayette Ave",6751,-73.8658951,40.8209913,82.1644692065859
"34th Ave",6729,-73.9209677,40.7567327,82.0304821392633
"Prince St",6709,-73.9977898,40.7241951,81.9084855189009
"83rd St",6697,-73.994265,40.604996,81.8352002502591
"NORTHERN BLVD.(W/B)@",6692,-73.577641,40.827852,81.8046453448702
"Boston Rd",6691,-73.896754,40.833322,81.7985329941803
"36th St",6676,-73.928282,40.7520898,81.706792863262
"Park Ave South",6661,-73.9885174,40.7371225,81.6149496109628
"Nassau St",6625,-74.008418,40.70953,81.3941029804985
"College Point Blvd",6611,-73.83714,40.7435166,81.3080561814141
"E 51st St",6555,-73.9766287,40.7591164,80.9629544915451
"44th St",6529,-73.920203,40.745116,80.802227692063
"E 149th St",6522,-73.9232143,40.8175055,80.7589004382799
"MADISON AVE",6514,-73.969627,40.7660335,80.7093550959243
"E 91st St",6490,-73.8942816,40.6309228,80.5605362444913
"W 53rd St",6486,-73.9800788,40.7622003,80.5357063668035
"NB WOODHAVEN BLVD @",6474,-73.8456853,40.6832982,80.4611707595658
"E 21st St",6466,-73.960423,40.652556,80.4114419718985
