"V1","V2"
"182nd St",776
"183 ST",55
"183 STREET",13
"183RD ST",9
"183rd St",605
"184th St",654
"185th St",408
"186 LANE",18
"186 LN",24
"186 ST",15
"186th St",423
"187 ST",26
"188 ST",89
"188th St",1775
"189 ST",47
"189th St",609
"18TH  AVE",3
"18TH AE",27
"18TH AV",12
"18TH AVE",766
"18TH AVENUE",205
"18TH ST",53
"18th Ave",14785
"18th St",1312
"19 AVE",211
"19 AVENUE",9
"19 ST",166
"19 ST HOYTT AVE",2
"19 STREET",28
"190 LANE",2
"190 ST",53
"190 STREET",11
"190th St",457
"191st St",488
"192 ST",60
"192 STREET",6
"192ND ST",1
"192nd St",496
"193RD STREET",1
"193rd St",571
"194 ST",82
"194th St",344
"195 ST",53
"195TH ST",3
"195th Pl",76
"195th St",383
"196th St",296
"197 ST",74
"197th St",390
"198 ST",72
"198 STREET",11
"198TH ST",6
"198th St",316
"199 ST",138
"199TH ST",3
"199th St",394
"19TH ST",27
"19th Ave",1819
"19th Dr",50
"19th St",1144
"1ST",63
"1ST  AVE",5
"1ST  ST",3
"1ST AV",75
"1ST AVE",3885
"1ST AVE COOP",1
"1ST AVE, N.Y. N.Y. 1",1
"1ST AVENUE",460
"1ST AVENUE NY NY 100",2
"1ST AVENUE NY, NY 10",1
"1st Ave",69512
"1st Ct",33
"1st Pl",1332
"1st St",1576
"2  SOUTH OF E 164",1
"2 AV",29
"2 AVE",1654
"2 AVENUE",109
"2 ND AVE",18
"2 ST",140
"20  SOUTH E 104 ST",1
"20  W/O BROADWAY",3
"20  W/OF N/W C/O 59",1
"20 AVE",723
"20 AVE W/S 51 N/O",1
"20 DRIVE",4
"20 E ST",2
"20 FT EAST 77 ST",1
"20 LN",10
"20 ST",45
"20 STREET",22
"20 W/B",1
"20 W/O 31 AVE",1
"200  WEST YORK ST",1
"200 C/O W 27TH ST",1
"200 R/O E 69 ST",1
"200 ST",66
"200FT N/O 57TH ST",1
"200th St",423
"201 ST",107
"201 STREET",11
"201ST PLACE",1
"201st St",577
"202 ST",93
"202 STREET",32
"202nd St",491
"203 ST",49
"203 STREET",7
"203rd St",408
"204 ST",64
"204th St",476
"207 ST",56
"207 STREET",11
"207th St",268
"208 ST",138
"208th Pl",45
"208th St",380
"209 ST",65
"209 STREET",4
"209th St",340
"20FT E OF N/E C/O E",2
"20FT FROM C/O S/W",1
"20FT FROM N/W C/O RI",1
"20FT FROM THE S/EC/O",1
"20FT N/W/C OF W 177",1
"20FT NE OF E 92 ST",1
"20FT S/W C/O AVE I",1
"20FT S/W/C/O VERMONT",1
"20TH AVE",216
"20TH AVENUE",17
"20TH RD",14
"20TH ST",24
"20TH STREET",14
"20th Ave",4142
"20th Dr",29
"20th Ln",135
"20th Rd",416
"20th St",740
"21 AVE",475
"21 RD",15
"21 ROAD",5
"21 ST",291
"210 AVE",1
"210 ST",136
"210 STR",3
"210th Pl",56
"210th St",375
"211 ST",104
"211th St",438
"212",3
"212 ST",100
"212 STREET",19
"212th St",536
"213 ST",110
"213th St",1583
"214 ST",39
"214th Pl",213
"215 ST",93
"215 STREET",26
"215TH ST",1
"215th Pl",140
"215th St",525
"216 ST",57
"216th St",309
"217 ST",151
"217th St",1066
"218 ST",138
"218 ST 3",1
"218ST",3
"218th St",919
"219 ST",82
"219 STREET",13
"219th St",840
"21ST AVE",44
"21TH AVE",7
"21st Ave",3177
"21st Dr",109
"21st Rd",137
"21st St",3269
"22 AVE",106
"22 ST",89
"220 ST",99
"220 STREET",11
"2207 AMST ON",1
"220th Pl",56
"220th St",524
"221 ST",84
"221st St",447
"222 ST",114
"222ND ST.(E/B)@PAULD",739
"222ND ST.(W/B)@PAULD",799
"222nd St",514
"223",13
"223 PL",24
"223 RD ST",1
"223 ST",153
"223RD PL",2
"223rd Pl",69
"223rd St",414
"224 ST",118
"224th St",502
"225",3
"225 ST",90
"225th St",326
"226 ST",100
"226 STREET",11
"226TH DRIVE",6
"226th St",378
"227 ST",98
"227th St",362
"228 ST",121
"229 DRIVE  NORTH",1
"229 DRIVE NORTH",9
"229 DRIVE SOUTH",7
"229 ST",111
"229 STREET",16
"229TH DRIVE SOUTH",6
"229th St",372
"22ND AV",1
"22ND ST",14
"22nd Ave",227
"22nd Dr",82
"22nd St",1734
"23 AV",10
"23 AVE",573
"23 AVENUE",13
"23 ST",234
"23 STREET",47
"230 PL",40
"230 ST",101
"230 STREET",12
"230th St",320
"231 ST",108
"232",4
"232 ST",97
"232nd St",332
"233 ST",94
"233rd St",243
"234 ST",65
"234th St",184
"235th St",452
"238th St",45
"23RD AVE",75
"23RD AVENUE",15
"23RD ST",48
"23RDAVE",1
