"V1","V2"
"14th St",2834
"15  N/W C/O EVERGREE",1
"15 AVE",395
"15 ROAD",6
"15 ST",150
"150 ROAD",5
"150 ST",412
"150 STREET",255
"150TH STREET",30
"150th Ave",196
"150th Pl",403
"150th Rd",741
"150th St",6480
"151st Ave",100
"151st Pl",58
"151st St",118
"152 ST",34
"152nd St",471
"153 AVE",29
"153 AVENUE",10
"153 PL",3
"153 ST",193
"153RD ST",4
"153RD STREET",2
"153rd Pl",26
"153rd St",5182
"154 ST",67
"154th St",655
"155 ST",68
"155 STREET",16
"155th Ave",153
"155th St",764
"156 AVE",31
"156 ST",79
"156th Ave",448
"156th St",983
"157 ST",125
"157 STREET",22
"157th Ave",289
"157th St",1103
"158 ST",74
"158th Ave",248
"158th St",436
"159 ST",80
"159TH ST",5
"159th Ave",178
"159th Dr",2
"159th Rd",189
"159th St",1972
"15RD ST",3
"15TH AVE",174
"15TH AVENUE",70
"15TH ST",94
"15th Ave",2841
"15th Rd",92
"15th St",1733
"16 AV",7
"16 AVE",621
"16 ST",125
"16 STREET",28
"160 ST",197
"160 STREET",38
"160TH ST",10
"160TH STREET",17
"160th Ave",103
"160th St",6105
"161 ST",153
"161st Ave",307
"161st Pl",16
"161st St",6361
"162",6
"162 ST",220
"162nd Ave",32
"162nd St",9201
"163 ST",104
"163rd Ave",188
"163rd Rd",14
"163rd St",5024
"164 ST",193
"164 ST JAMAICA NY 11",1
"1642 AVE",1
"164TH ST",27
"164TH STREET",13
"164th Ave",60
"164th Pl",245
"164th Rd",15
"164th St",9728
"165 ST",172
"165 STREET",27
"165TH ST",29
"165th Ave",57
"165th St",5309
"165th Street Steps",5
"166 PL",4
"166 ST",120
"166 STREET",49
"166th Pl",451
"166th St",925
"167 ST",76
"167th St",983
"168 AVE",2
"168 LN",1
"168 PL",26
"168 PLACE",18
"168 ST",86
"168 STREET",28
"168th Pl",2040
"168th St",1612
"169 ST",107
"169 STREET",19
"169th Pl",55
"169th St",1614
"16TH AVE",311
"16TH ST",376
"16TH STREET",16
"16th Ave",5757
"16th Rd",78
"16th St",1239
"17 AVE",310
"17 ST",50
"170 ST",89
"170th St",1351
"171 ST",53
"171 STREET",14
"171st Pl",38
"171st St",1213
"172 ST",65
"172nd St",1577
"173 STREET",7
"173RD STREET",8
"173rd St",938
"174 ST",25
"174TH ST",4
"174th St",237
"175 PL",5
"175 ST",85
"175 STREET",37
"175TH STREET",25
"175th Pl",33
"175th St",1499
"176 ST",44
"176th St",661
"177th Pl",53
"177th St",594
"178 ST",33
"178TH ST",8
"178th Pl",112
"178th St",787
"179th Pl",416
"179th St",813
"17TH AVE",155
"17th Ave",1916
"17th Rd",124
"17th St",1173
"18 AVE",1463
"18 AVENUE",39
"18 ST",81
"180 ST",150
"180 STREET",54
"180TH ST",23
"180th St",881
"181 ST",42
"181 ST BETWEEN HUGLU",1
"181 STREET",12
"181ST STREET",7
"181st Pl",11
"181st St",445
"182",1
"182 ST",44
"182nd Pl",147
"182nd St",708
"183 ST",36
"183rd St",554
"184 PL",9
"184 ST",36
"184TH ST",5
"184th Pl",147
"184th St",591
"185th St",354
"186 ST",19
"186th Ln",30
"186th St",355
"187",2
"187th Pl",128
"187th St",268
"188 ST",51
"188TH ST",4
"188th St",1053
"189",2
"189 ST",26
"189th St",531
"18TH",28
"18TH  6222",1
"18TH AVE",1240
"18TH AVENU8E",1
"18TH AVENUE",636
"18TH RD",29
"18TH ST",40
"18th Ave",14433
"18th Rd",22
"18th St",1718
"19 AVE",141
"19 ST",136
"190 ST",38
"190TH ST",7
"190th Ln",35
"190th St",534
"191 STREET",4
"191st St",378
"192 ST",63
"192nd St",602
"193 ST",55
"193rd Ln",10
"193rd St",527
"194 ST",44
"194 STREET",6
"194th St",393
"195th Ln",7
"195th Pl",36
"195th St",319
"196 PL",4
"196th St",350
"197th St",274
"198th St",390
"199 ST",63
"199th St",370
"19TH AVE",103
"19TH AVENUE",25
"19TH ST",46
"19TH STREET",25
"19th Ave",2469
"19th Dr",81
"19th Rd",140
"19th St",1992
"1ST",43
"1ST AVE",2733
"1ST AVENUE",558
"1ST PLACE",36
"1ST ST",32
"1ST STREET",21
"1st Ave",68218
"1st Pl",1454
"1st St",2047
"2 AVE",1426
"2 AVENUE",113
"2 ST",94
"2 place",19
"20  W/O 23 STREET",1
"20  W/O PIER  6",1
"20 AVE",391
"20 MAYFIELD",1
"20 RD",25
"20 ROAD",6
"20 ST",54
"200FT EAST OF B 90 S",1
"200FT SOUTH 179 ST",1
"200th St",492
"201 PL",3
"201 ST",56
"201 STREET",16
"201st Pl",38
"201st St",530
"202",2
"202 STREET",20
"202nd St",534
"203 S",1
"203rd St",439
"204 ST",74
"204 STREET",13
"204th St",516
"205 ST",26
"205th St",353
"206th St",43
"207 St",19
"207th St",286
"208 ST",85
"208th Pl",46
"208th St",551
"209 ST",39
"209th St",351
"20TH AVE",232
"20TH ST",24
"20th Ave",5436
"20th Ln",189
"20th Rd",764
"20th St",1018
"21 64",1
"21 AVE",282
"21 ST",352
"21 ST STREET",3
"21 STREET",49
"210 ST",61
"210th St",339
"211 STREET",10
"211th Pl",32
"211th St",426
"212 PL",17
"212 STREET",20
"212th Pl",119
"212th St",693
"213 AVE",2
"213th St",1836
"214 PL",42
"214 ST",28
"214 STREET",5
"214th Pl",320
"214th St",237
"215 ST",70
"215 STREET",14
"215TH ST",4
"215th Pl",216
"215th St",608
"216 ST",44
"216TH ST",6
"216th St",330
"217 ST",95
"217 STREET",10
"217th Ln",45
"217th St",1035
"218 PL",4
"218 ST",36
"218TH ST",3
"218th St",867
"219 ST",42
"219th St",876
"21ST AVE",59
"21ST AVENUE",13
"21ST ST",46
"21ST STREET",37
"21st Ave",4116
"21st Dr",164
"21st Ln",12
"21st Rd",266
"21st St",4245
"22 AVE",45
"22 ST",119
"220",2
"220 ST",50
"220 STREET",9
"220th Pl",29
"220th St",441
"221 ST",41
"221 STREET",3
"221st St",385
"222 ST",65
"2226 DR S",1
"222ND ST (E/B) @ PAU",933
"222ND ST (W/B) @ PAU",896
"222ND STREET",6
"222nd St",398
"223 PL",32
"223 PLACE",9
"223 RD ST",2
"223 ST",97
"223rd St",473
"224 ST",122
"224TH",1
"224th St",538
"225 ST",68
"225th St",335
"226 DR SOUTH",1
"226 DRIVE",2
"226 ST",91
"226th St",341
"227 ST",50
"227TH ST",2
"227th St",211
"228 ST",117
"228TH ST",1
"228TH STREET",1
"228th St",417
"229 DR N",2
"229 DR SOUTH",6
"229 DRIVE NORTH",17
"229 ST",68
"229th St",334
"22ND DRIVE",1
"22ND ST",45
"22RD ST",15
"22TH ST",1
"22nd Ave",376
"22nd St",2347
"23 AVE",448
"23 RD",12
"23 ST",280
"23 TERRACE",2
"230 PL",17
"230th St",290
"231 ST",71
"231 STREET",10
"231st St",262
"232 ST",67
"232nd St",258
"233RD ST",2
"233rd St",237
"234 ST",19
"234th St",265
"235th Ct",22
"235th St",594
"236 ST",13
"236 STREET",3
"236th St",77
"237th St",58
"238th St",29
"239th St",40
"23ND STREET",1
"23RD AVE",60
"23RD AVE (E/B) @ 94T",2644
"23RD AVENUE",22
"23RD ST",180
"23RD STREET",25
"23rd Ave",6269
"23rd Dr",112
"23rd Rd",346
"23rd St",6879
"23rd Ter",114
"24 AVE",144
"24 AVENUE",35
"24 ST",104
"241 ST",38
"241st St",222
"242 ST",104
"242nd St",166
"243 ST",67
"243rd St",1092
"244th St",82
"245th St",178
"246 ST",12
"246th St",143
"247 ST",22
"247th St",242
"248th St",115
"249 ST",38
"249th St",220
"24TH AVENUE",15
"24TH ST",36
"24TH STREET",7
"24th Ave",2362
"24th Rd",193
"24th St",3377
"25 AVE",436
"25 AVENUE",73
"25 ST",21
"250FT S/O CHURCH AVE",1
"251st St",132
"252nd St",160
"253 ST",13
"254 ST",16
"254th St",362
"255th St",200
"256th St",163
"257 ST",17
"257th St",132
"258th St",127
"2590 HEATH AVE",1
"25FT E/O PARK AVE",1
"25FT NORTH OF BUCHAN",1
"25TH ST",39
"25TH STREET",8
"25th Ave",1654
"25th Rd",280
"25th St",189
"26 AVE",110
"26 RD",11
"26 ST",52
"260 ST",18
"260 STREET",1
"260th St",196
"261st St",76
"262nd St",73
"264th St",86
"265 ST",17
"265th St",72
"266th St",164
"267th St",101
"268th St",177
"269th St",117
"26TH ST",7
"26TH STREET",18
"26th Ave",691
"26th St",789
"27",1
"27 AVE",148
"27 ST",109
"270th St",110
"271st St",70
"2734",1
"27th Ave",1087
"27th St",3901
"28 AVE",235
"28 AVENUE",8
"28 ST",168
"28 ST AVE",1
"28 STREET",35
"288",1
"28TH AVE",32
"28TH ST",39
"28TH STREET",41
"28th Ave",3384
"28th Rd",256
"28th St",2936
"29 ST",206
"29TH ST",30
"29TH STREET",20
"29th Ave",1013
"29th Rd",87
"29th St",6810
"2ND AV",41
"2ND AVE",3509
"2ND AVE (S/B) @ 26TH",9664
"2ND AVE 300FT",1
"2ND AVENUE",653
"2ND PLACE",17
"2ND ST",108
"2nd Ave",79658
"2nd Pl",749
"2nd St",1898
"3 AV",56
"3 AVE",6655
"3 AVENUE",499
"3 ST",154
"30 AV",7
"30 AVE",325
"30 AVENUE",22
"30 DR",35
"30 DRIVE",8
"30 RD",44
"30 ST",161
"300FT S/B 179 ST",1
"30FT N/O E 32 ST",1
"30TH ST",44
"30th Ave",16382
"30th Dr",1442
"30th Rd",1160
"30th St",6703
"31 AE",1
"31 AVE",1092
"31 AVENUE",27
"31 DR",51
"31 RD",35
"31 ST",475
"31 STREET",67
"31st Ave",8135
"31st Dr",765
"31st Pl",275
"31st Rd",616
"31st St",15629
"32 AVE",316
"32 AVENUE",34
"32 ST",165
"32 STREET",26
"32ND",1
"32ND PLACE",5
"32ND ST",25
"32ND STREET",24
"32nd Ave",2400
"32nd Pl",773
"32nd St",5800
"33 AVE",252
"33 ST",354
"33RD ST",63
"33RD STREET",23
"33rd Ave",1459
"33rd Rd",635
"33rd St",9227
"34",2
"34 AV",10
"34 AVE",536
"34 AVENUE",55
"34 RD",32
"34 ST",246
"34TH AVE",74
"34TH AVENUE",25
"34TH ST",39
"34TH STREET",27
"34th Ave",7695
"34th Rd",361
"34th St",7049
"35 A",1
"35 AVE",778
"35 AVENUE",38
"35 ST",174
"35TH AVE",78
"35TH ST",42
"35th Ave",8655
"35th St",7333
"36 AVE",171
"36 RD",57
"36 ST",362
"36TH AVENUE",12
"36TH ST",35
"36TH STREET",18
"36th Ave",5748
"36th Rd",1349
"36th St",7958
"37",8
"37 AVE",1090
"37 AVENUE",180
"37 DR",31
"37 ROAD",15
"37 ST",238
"37 STREET",37
"37TH AVE",109
"37TH DRIVE",3
"37th Ave",38826
"37th Dr",208
"37th Rd",1720
"37th St",8932
"38 AVE",340
"38 ST",405
"38 ST 3",1
"38 STREET",50
"38TH AVE",39
"38TH ST",37
"38TH STREET",30
"38th Ave",8717
"38th St",12838
"39 AVE",333
"39 PL",45
"39 RD",7
"39 ST",356
"393  LENOX AVE",1
"39TH AVE",48
"39TH ST",103
"39TH ST (N/B) @ NORT",2417
"39th Ave",14575
"39th Dr",117
"39th Pl",795
"39th Rd",70
"39th St",4637
"3AV",1
"3RD",201
"3RD AV",113
"3RD AVE",8333
"3RD AVE (N/B) @ 36TH",1681
"3RD AVE (S/B) @ E 13",3835
"3RD AVENUE",1562
"3RD PL",25
"3RD ST",180
"3RD ST.",1
"3TH AVE",158
"3rd Ave",164972
"3rd Pl",593
"3rd St",1789
"4 AVE",1276
"4 AVENUE",581
"4 PLACE",5
"4 ST",108
"40 AVE",81
"40 AVENUE",8
"40 DR",8
"40 RD",87
"40 ROAD",33
"40 ST",313
"40FT W/O AMSTERDAM A",1
"40TH AVE",26
"40TH RD",64
"40TH ST",83
"40TH STREET",25
"40th Ave",2283
"40th Rd",5213
"40th St",4035
"41",6
"41 AV",15
"41 AVE",1188
"41 AVENUE",77
"41 AVT",1
"41 DRIVE",4
"41 RD",43
"41 ROAD",29
"41 ST",549
"41 ST AVE",39
"41 ST ST",7
"41 STREET",83
"41-44",1
"41715M1 SR",1
"41ST",6
"41ST AVE",246
"41ST AVENUE",75
"41st Ave",15466
"41st Rd",2602
"41st St",11586
"42 AVE",186
"42 AVENUE",28
"42 RD",22
"42 ST",419
"42 STREET",83
"42ND ST",101
"42nd Ave",3138
"42nd Rd",690
"42nd St",7374
"43 AVE",881
"43 AVENUE",34
"43 RD",8
"43 ST",342
"43-43",1
"43RD ST",108
"43rd Ave",7761
"43rd Rd",1328
"43rd St",8726
"44 AVE",113
"44 ST",487
"44 STREET",68
"44RD ST",22
"44TH ST",101
"44th Ave",1993
"44th Dr",3434
"44th Rd",2033
"44th St",8739
"45 68TH ST FT",1
"45 AVE",217
"45 ROAD",2
"45 ST",443
"45TH AVE",19
"45TH ST",90
"45th Ave",4204
"45th Dr",346
"45th Rd",775
"45th St",7925
"46 AVE",142
"46 ST",407
"46 ST+",1
"46 STREET",65
"46TH",4
"46TH AVE",12
"46TH ST",68
"46th Ave",2396
"46th Rd",969
"46th St",7828
"47 AVE",310
"47 AVENUE",21
"47 RD",16
"47 ST",366
"47 STREET",66
"47TH AVE",118
"47TH AVENUE",24
"47TH ST",79
"47TH STREET",26
"47THS T",1
"47th Ave",4028
"47th Rd",1540
"47th St",7945
"48 AV",12
"48 AVE",259
"48 ST",414
"48 STREET",57
"48TH AVE",47
"48TH ST",118
"48TH STREET",44
"48th Ave",3620
"48th St",6571
"49 AV",1
"49 AVE",119
"49 AVENUE",6
"49 ST",336
"49 STREET",52
"49TH AVE",11
"49TH ST",53
"49th Ave",1026
"49th St",6338
"4TH AVE",2013
"4TH AVE (N/B) @ 18TH",2514
"4TH AVE (S/B) @ 60TH",1657
"4TH AVENUE",291
"4TH BLVD",1
"4TH PLACE",38
"4TH ST",117
"4TH STREET",38
"4th Ave",14282
"4th Pl",323
"4th St",1640
"5 4 AVE",1
"5 AVE",3563
"5 AVENUE",580
"5 AVER",4
"5 ST",114
"50",5
"50  S/E C/O 64 AVENU",1
"50 AVE",272
"50 ST",665
"50 STREET",87
"50FT FROM S/E C/O HA",1
"50FT N/E C/O 172 ST",1
"50TH AVE",80
"50TH ST",117
"50th Ave",3218
"50th St",6469
"51 AV",4
"51 AVE",245
"51 ST",495
"51 ST STREET",6
"51 STREET",54
"51ST AVE",14
"51ST STREET",43
"51TH ST",6
"51st Ave",3806
"51st St",5112
"52 AVE",157
"52 RD",10
"52 ST",418
"52 STREET",109
"52ND AVE",6
"52ND ST",85
"52nd Ave",722
"52nd St",4348
"53 AVE",184
"53 AVENUE",22
"53 ST",354
"53 STREET",51
"53RD ST",103
"53RD STREET",30
"53rd Ave",1005
"53rd Dr",104
"53rd Pl",125
"53rd St",4664
"54 AV",4
"54 AVE",111
"54 AVENUE",9
"54 ST",411
"54 STREET",59
"54RD ST",8
"54TH AVE",15
"54TH ST",96
"54TH STREET",31
"54th Ave",1285
"54th Dr",76
"54th Pl",82
"54th Rd",259
"54th St",4263
"55 AVE",106
"55 AVENUE",23
"55 DR",13
"55 ST",376
"55RD ST",10
"55TH AVE",36
"55TH ST",72
"55th Ave",3114
"55th Dr",940
"55th Rd",146
"55th St",3612
"56 AVE",306
"56 AVENUE",27
"56 PLACE",1
"56 ST",437
"56RD ST",15
"56TH AVE",10
"56TH ST",117
"56TH STREET",32
"56th Ave",2397
"56th Dr",658
"56th Rd",525
"56th St",4789
"57 AVE",670
"57 AVENUE",31
"57 DR",26
"57 RD",51
"57 ST",524
"57 STREET",49
"57TH AVE",54
"57TH AVENUE",33
"57TH ST",129
"57th Ave",2832
"57th Dr",150
"57th Rd",682
"57th St",4435
"58 AVE",144
"58 RD",71
"58 ST",616
"58 STREET",267
"58TH ST",122
"58TH STR",1
"58TH STREET",71
"58th Ave",1106
"58th Ln",108
"58th Rd",611
"58th St",3499
"59 AVE",327
"59 DRIVE",12
"59 ROAD",4
"59 ST",475
"59 ST UNDER PASS",1
"59 STREET",90
"59TH AVE",31
"59TH AVENUE",7
"59TH ST",118
"59TH ST UNDERPASS",3
"59TH STREET",65
"59th Ave",1013
"59th Dr",98
"59th Pl",227
"59th St",3421
"5TH",89
"5TH AV",126
"5TH AVE",6679
"5TH AVE (S/B) @ 40TH",4761
"5TH AVENUE",683
"5TH ST",258
"5th Ave",106911
"5th St",3380
"6",12
"6 13 ST",1
"6 AVE",2559
"6 AVENUE",148
"6 ST",130
"60 AVE",145
"60 DR",22
"60 LANE",30
"60 PLACE",12
"60 RD",50
"60 ST",696
"60 STREET",99
"602 MYTYLL AUMW",1
"60FT S/O 211 ST",1
"60TH",5
"60TH ST",118
"60TH STREET",34
"60th Ave",1078
"60th Dr",195
"60th Ln",1258
"60th Pl",455
"60th Rd",213
"60th St",3714
"61 RD",13
"61 ST",839
"61 STREET",91
"61ST ST",88
"61ST STREET",70
"61st Ave",93
"61st St",5369
"62 AVE",73
"62 DR",158
"62 DRIVE",117
"62 RD",72
"62 ROAD",32
"62 ST",448
"62 STREET",116
"62ND ST",143
"62ND STREET",135
"62RD",2
"62RD ST",21
"62nd Ave",1111
"62nd Dr",1519
"62nd Rd",581
"62nd St",3390
"63 AVE",109
"63 AVENUE",26
"63 DRIVE",95
"63 RD",362
"63 ST",318
"63 STREET",146
"633 SHMJOMI3 PUM",1
"63RD",104
"63RD ST",80
"63RD ST.",1
"63RD ST3",1
"63RD STREEET",1
"63RD STREET",103
"63rd Ave",1422
"63rd Dr",3721
"63rd Rd",4211
"63rd St",3777
"64 AVE",133
"64 AVENUE",16
"64 PL",45
"64 PLC",1
"64 ST",466
"64 STREET",96
"64TH AVE",17
"64TH ROAD",2
"64TH ST",72
"64TH ST FROM 7TH AVW",1
"64TH STREET",102
"64th Ave",2474
"64th Ln",150
"64th Pl",331
"64th Rd",2388
"64th St",4053
"65 AVE",99
"65 CRES",7
"65 PL",74
"65 PLACE",33
"65 RD",44
"65 ROAD",21
"65 ST",791
"65 STREET",102
"65TH ST",276
"65TH STREET",93
"65th Ave",1697
"65th Cres",43
"65th Dr",48
"65th Ln",27
"65th Pl",831
"65th Rd",953
"65th St",4394
"66 AVE",106
"66 AVENUE",25
"66 DR",17
"66 PL",39
"66 ROAD",17
"66 ST",428
"66 STREET",73
"66TH",9
"66TH ST",77
"66TH STREET",67
"66th Ave",1692
"66th Pl",270
"66th Rd",1091
"66th St",3439
"67 AV",1
"67 AVE",203
"67 DR",110
"67 PLACE",10
"67 RD",114
"67 ST",505
"67 STREET",209
"67TH ST",76
"67TH STREET",149
"67th Ave",2407
"67th Dr",1172
"67th Pl",341
"67th Rd",1251
"67th St",2997
"68 AVE",240
"68 AVENUE",48
"68 DR",45
"68 DRIVE",14
"68 ROAD",29
"68 ST",242
"68 STREET",59
"68TH ST",57
"68TH STREET",88
"68th Ave",1891
"68th Dr",955
"68th Pl",209
"68th Rd",1174
"68th St",2764
"69 AVE",162
"69 AVENUE",22
"69 PL",72
"69 PLACE",17
"69 RD",38
"69 ROAD",13
"69 ST",205
"69 STREET",68
"69PL",2
"69th Ave",2412
"69th Ln",433
"69th Pl",1112
"69th Rd",1192
"69th St",2899
"6D MLMR",1
"6TH AVE",2932
"6TH AVENUE",261
"6TH ST",132
"6TH STREET",42
"6th",20
"6th Ave",55129
"6th Rd",17
"6th St",2323
"7 AVE",3957
"7 AVE SOUTH",7
"7 AVENUE",235
"7 NO AVE",1
"7 ST",140
"70 AVE",130
"70 RD",123
"70 ST",269
"70 STREET",87
"70TH ST",61
"70TH STREET",15
"70th Ave",4574
"70th Dr",59
"70th Rd",3895
"70th St",2951
"71 AVE",176
"71 AVENUE",57
"71 C/O",1
"71 CRES",11
"71 DR",2
"71 RD",41
"71 ROAD",13
"71 ST",294
"71 STREET",77
"71ST AVE",19
"71ST ST",59
"71ST STREET",25
"71st Ave",7404
"71st Cres",76
"71st Dr",112
"71st Pl",116
"71st Rd",3803
"71st St",3280
"72 AVE",80
"72 ND ST",1
"72 PL",33
"72 ST",283
"72 STREET",91
"72ND",4
"72ND AVE",10
"72ND AVENUE",1
"72ND ST",125
"72ND STREET",83
"72nd Ave",2774
"72nd Cres",42
"72nd Dr",670
"72nd Pl",138
"72nd Rd",2295
"72nd St",4517
"73 AVE",157
"73 PL",23
"73 PLACE",12
"73 PLC",2
"73 ST",268
"73 STREET",87
"73RD AVE",16
"73RD PL",1
"73RD ST",123
"73RD STREET",130
"73rd Ave",1401
"73rd Pl",408
"73rd Rd",1122
"73rd St",4739
"74 ST",291
"74 STREET",111
"74TH AVE",3
"74TH ST",63
"74TH STREET",40
"74th Ave",397
"74th Pl",51
