"V1","V2"
"132 ST",75
"132 STREET",12
"132ND ST",32
"132nd Ave",172
"132nd Rd",46
"132nd St",1047
"133 AVE",102
"133 ST",70
"133rd Ave",936
"133rd Rd",65
"133rd St",768
"134 AVE",30
"134 PL",2
"134 RD",12
"134 ST",103
"134th Ave",246
"134th Rd",511
"134th St",1635
"135 ST",135
"135TH STREET",7
"135th Ave",380
"135th Pl",126
"135th Rd",29
"135th St",1461
"136 AVE",10
"136 ST",77
"136th Ave",139
"136th Rd",40
"136th St",910
"137 ST",120
"137 STREET",33
"137th Ave",877
"137th St",691
"138 ST",187
"138th Ave",87
"138th Pl",199
"138th St",2256
"139 ST",55
"139th Ave",71
"139th St",1582
"13RD AVE",3
"13TH AV",36
"13TH AVE",680
"13TH AVENUE",108
"13TH STREET",45
"13th Ave",22365
"13th St",2827
"14 AVE",518
"14 AVENUE",50
"14 ST",280
"14 STREET",44
"140th Ave",369
"140th St",418
"141 AVE",73
"141 RD",18
"141 ST",70
"141st Ave",153
"141st Pl",67
"141st Rd",83
"141st St",4315
"142 ST",69
"142 STREET",12
"142nd Ave",40
"142nd St",695
"143 AVE",15
"143RD STREET",6
"143rd Ave",86
"143rd Pl",6
"143rd Rd",76
"143rd St",1111
"144 AVE",23
"144 PLACE",5
"144th Ave",224
"144th Pl",262
"144th Rd",77
"144th St",666
"145 AVE",54
"145 DR",11
"145th Ave",326
"145th Dr",99
"145th Pl",64
"145th Rd",162
"145th St",381
"146 AVE",27
"146 ST",100
"146th Ave",219
"146th Dr",62
"146th Pl",21
"146th Rd",72
"146th St",2624
"146th Ter",180
"147 AVE",104
"147 AVENUE",29
"147 RD",9
"147 ST",136
"147 STREET",54
"147TH PLACE",5
"147th Ave",259
"147th Dr",83
"147th Pl",959
"147th Rd",75
"147th St",1801
"148th Ave",795
"148th Dr",177
"148th Rd",557
"148th St",5448
"149 AVE",161
"149 AVENUE",79
"149 PL",37
"149 RD",66
"149 ROAD",26
"149 ST",229
"149 STREET",88
"149TH ST",16
"149th Ave",851
"149th Pl",725
"149th Rd",274
"149th St",3556
"14TH",2
"14TH AVE",298
"14TH AVENUE",73
"14TH ST",82
"14th Ave",8583
"14th Pl",28
"14th Rd",671
"14th St",2695
"15 AVE",451
"15 AVENUE",22
"15 ST",184
"150 PL",20
"150 RD",12
"150 ST",353
"150 STREET",162
"150th Ave",199
"150th Pl",398
"150th Rd",604
"150th St",6350
"151 AVE",22
"151st Ave",106
"151st Pl",37
"152nd St",502
"153 ST",137
"153 STREET",21
"153RD ST",16
"153rd Ave",203
"153rd Pl",27
"153rd St",4917
"154 ST",63
"154TH ST",5
"154th St",578
"155 AVE",40
"155 STREET",22
"155th Ave",122
"155th St",794
"156 ST",90
"156th Ave",459
"156th St",845
"157th Ave",273
"157th St",1180
"158 STREET",23
"158TH ST",5
"158th Ave",204
"158th St",482
"159th Ave",96
"159th Rd",120
"159th St",1756
"15TH AVE",171
"15TH AVENUE",140
"15TH ST",121
"15TH STREET",76
"15th Ave",2551
"15th Dr",92
"15th St",1900
"16 AVE",795
"16 AVENUE",24
"16 ST",132
"16 STREET",27
"160 ST",227
"160 STREET",59
"160TH ST",16
"160th Ave",64
"160th St",5785
"161 ST",196
"161 STREET",51
"161st Ave",303
"161st Pl",22
"161st St",6153
"162 ST",273
"162 STREET",40
"162nd Ave",34
"162nd St",8310
"163  ST",1
"163 ST",87
"163rd Ave",153
"163rd St",3912
"164 DR",7
"164 DRIVE",6
"164 ROAD",1
"164 ST",214
"164 STATION RD",1
"164th Ave",34
"164th Pl",247
"164th St",9174
"165 AVENUE",1
"165 ST",187
"165 STREET",52
"165TH STREET",4
"165th St",5382
"166 ST",138
"166TH PL",3
"166th Pl",599
"166th St",778
"167 ST",91
"167th St",899
"168 ST",244
"168th Pl",2187
"168th St",1922
"169 ST",139
"169th Pl",52
"169th St",1655
"16TH AVE",256
"16TH AVENUE",97
"16TH ST",234
"16TH STREET",62
"16th Ave",4511
"16th Rd",94
"16th St",1333
"17 AVE",286
"17 ROAD",1
"17 ST",53
"170 ST",112
"170TH",2
"170th Pl",3
"170th St",1372
"171 ST",72
"171 STREET",24
"171st Pl",68
"171st St",1506
"172 ST",96
"172ST",2
"172nd St",1899
"173 ST",61
"173rd St",954
"174th Pl",29
"174th St",207
"175 ST",111
"175 STREE",1
"175 STREET",62
"175th St",1208
"176TH STREET",9
"176th St",810
"177th Pl",92
"177th St",648
"178 AVE",1
"178th Pl",90
"178th St",857
"179 PLACE",12
"179 ST",35
"179 STREET",27
"179th Pl",384
"179th St",822
"17TH AVE",120
"17TH AVENUE",94
"17TH ST",57
"17TH STREET",30
"17th Ave",2036
"17th Rd",166
"17th St",1027
"18 AV",49
"18 AVE",1829
"18 AVENUE",53
"18 ST",108
"18 STREET",23
"180 ST",205
"180 STREET",72
"180th St",1039
"181 ST",42
"181st St",531
"182 PL",12
"182ND STREET",5
"182nd Pl",170
"182nd St",704
"183 RD ST",1
"183 ST",52
"183RD ST",5
"183RD STREET",4
"183rd St",415
"184th Pl",176
"184th St",470
"185th St",294
"186 LN",43
"186 ST",23
"186th St",360
"187 ST",26
"187th Pl",112
"187th St",252
"188 ST",90
"188th St",736
"189th St",474
"18TH",9
"18TH AV",22
"18TH AVE",776
"18TH AVENUE",696
"18TH ST",45
"18th Ave",14360
"18th Rd",20
"18th St",1571
"19 AVE",251
"19 ST",110
"19 STREET",14
"190th Pl",13
"190th St",534
"191st St",542
"192 ST",61
"192nd St",494
"193 ST",109
"193rd Ln",18
"193rd St",814
"194 STREET",21
"194th St",368
"195 STREET",12
"195th Pl",73
"195th St",378
"196th St",406
"197th St",360
"198 ST",47
"198th St",313
"199 ST",95
"199th St",297
"19TH AVE",109
"19TH STREET",47
"19th Ave",2351
"19th Dr",64
"19th Ln",66
"19th St",1855
"1ST AVE",3029
"1ST AVENUE",665
"1ST PL",53
"1ST PLACE",33
"1ST STREET",36
"1TH AVE",4
"1st Ave",72719
"1st Ct",37
"1st Pl",1415
"1st St",1710
"2 AV",24
"2 AVE",1509
"2 AVENUE",385
"2 ST",80
"20",1
"20 AVE",544
"20 DRIVE",5
"20 LANE",10
"20 RD",45
"20 ST",54
"200 ST",35
"200 STREET",8
"200th St",393
"201st St",574
"202 ST",70
"202nd St",594
"203 ST",35
"203rd St",515
"204 ST",80
"204th St",440
"205th Pl",28
"205th St",357
"206 ST",14
"206th St",109
"207th St",310
"208th Pl",48
"208th St",566
"209th St",386
"20RD ST",26
"20TH AVE",305
"20TH AVENUE",128
"20TH STREET",26
"20th Ave",5096
"20th Ln",327
"20th Rd",662
"20th St",1052
"21 AVE",582
"21 AVENUE",29
"21 ST",326
"21 STREET",85
"210 ST",72
"210th St",360
"211 ST",54
"211 STREET",30
"211th Pl",116
"211th St",580
"212 ST",96
"212 STREET",22
"212th Pl",106
"212th St",747
"213 ST",90
"213th St",2039
"214th Pl",349
"214th St",196
"215 PL",28
"215 ST",90
"215th Pl",256
"215th St",555
"216th St",357
"217 ST",82
"217th Ln",51
"217th St",1056
"218 ST",70
"218th Pl",35
"218th St",906
"219 STREET",13
"219th St",809
"21ST AVE",107
"21ST AVENUE",27
"21st Ave",3700
"21st Dr",184
"21st Rd",197
"21st St",3593
"22 AVE",64
"22 DR",2
"220 PL",8
"220 ST",65
"220th Pl",40
"220th St",598
"221 ST",63
"221st St",372
"222 ST",69
"222ND ST (E/B) @ PAU",1165
"222ND ST (W/B) @ PAU",1374
"222nd St",489
"223 ST",92
"223 STREET",26
"223rd St",607
"224 ST",143
"224 STREET",15
"224th St",582
"225",3
"225  ST",1
"225 ST",69
"225TH STREET",3
"225th St",496
"226 ST",67
"226th St",448
"227 ST",61
"227th St",301
"228 ST",191
"228 STREET",26
"228th St",486
"229 DR SOUTH",24
"229 DRIVE SOUTH",10
"229 ST",62
"229TH DRIVE SOUTH",8
"229th St",428
"22ND ST",68
"22nd Ave",320
"22nd Dr",99
"22nd Rd",78
"22nd St",1853
"23 AVE",647
"23 ST",377
"230 PL",42
"230th Pl",81
"230th St",355
"231st St",310
"232 ST",39
"232 STREET",11
"232nd St",348
"233 ST",38
"233rd St",291
"234th Pl",5
"234th St",257
"235 STREET",5
"235th Ct",38
"235th St",432
"236th St",45
"237th St",56
"23RD AVE",116
"23RD AVE (E/B) @ 94T",2197
"23RD STREET",49
"23rd Ave",6974
"23rd Dr",42
"23rd Rd",294
"23rd St",5476
"23rd Ter",72
"24 AVE",176
"24 RD",54
"24 ROAD",8
"24 ST",256
"240th St",59
"241st St",258
"242 ST",86
"242 STREET",16
"242nd St",121
"243 ST",73
"243rd St",244
"244th St",83
"246 PL",3
"246 ST",14
"246th St",121
"247 ST",21
"247th St",163
"248th St",154
"249 ST",29
"249 STREET",4
"249th St",294
"24RD ST",34
"24TH ST",24
"24th Ave",2410
"24th Rd",146
"24th St",3395
"25 AVE",505
"25 AVENUE",120
"25 RD",45
"25 ROAD",10
"250th St",120
"251 ST",14
"251st St",150
"252nd St",164
"253rd St",207
"254th St",274
"255 ST",42
"255th St",229
"256 ST",34
"256th St",187
"257 ST",34
"257 STREET",3
"257th St",191
"258 ST",19
"258th St",133
"259th St",125
"25RD ST",51
"25TH ST",49
"25th Ave",1738
"25th Dr",122
"25th Rd",233
"25th St",187
"26 AVE",122
"260th St",164
"261st St",94
"262nd St",69
"263rd St",109
"264th St",124
"265th St",112
"266th St",172
"267th St",97
"268th St",188
"269th St",149
"26th Ave",748
"26th St",717
"27 AVE",178
"27 ST",138
"270th St",137
"271st St",79
"27th Ave",1040
"27th Rd",86
"27th St",3840
"28 AVE",298
"28 RD",28
"28 ST",201
"28 STREET",41
"28TH ST .",1
"28th Ave",3749
"28th Rd",246
"28th St",2776
"29 AVE",52
"29 RD",1
"29 ROAD",1
"29 ST",258
"29 TH STREET",2
"29th Ave",893
"29th Rd",75
"29th St",6275
"2ND",56
"2ND AV",138
"2ND AVE",2753
"2ND AVE (S/B) @ 26TH",3356
"2ND AVENUE",699
"2ND PL",32
"2ND PLACE",18
"2nd Ave",77738
"2nd Pl",858
"2nd St",2180
"3",5
"3 AV",71
"3 AVE",7912
"3 AVENUE",1306
"3 ST",109
"3 STREET",20
"30 AVE",364
"30 PL",62
"30 ST",240
"30 STREET",17
"30th Ave",16577
"30th Dr",1284
"30th Rd",967
"30th St",5492
"31 AVE",895
"31 AVENUE",64
"31 RD",46
"31 ST",727
"31 STREET",99
"31ST AVE",30
"31ST ST",214
"31ST STREET",185
"31st Ave",9296
"31st Dr",701
"31st Pl",161
"31st Rd",553
"31st St",16325
"32 AVE",295
"32 AVENUE",60
"32 PL",79
"32 ST",211
"32 STREET",33
"320 WEST HOUSTON ST",2
"32ND AVENUE",6
"32ND STREET",15
"32nd Ave",2342
"32nd Pl",935
"32nd St",5975
"33 AV",7
"33 AVE",239
"33 AVENUE",30
"33 ST",374
"33RD AVE",22
"33RD AVENUE",21
"33RD ST",82
"33RD STREET",13
"33rd Ave",1616
"33rd Rd",566
"33rd St",8947
"34",9
"34 AVE",570
"34 ST",263
"34 ST.",1
"34 STREET",40
"34TH AVE",96
"34TH ST",49
"34TH STREET",23
"34th Ave",8014
"34th Rd",340
"34th St",6885
"35 AVE",632
"35 AVENUE",79
"35 ST",263
"35 STREET",46
"35RD ST",20
"35TH AVE",84
"35TH ST",55
"35th Ave",9237
"35th Rd",39
"35th St",7591
"36 AVE",229
"36 AVENUE",18
"36 ROAD",36
"36 ST",472
"36 STREET",56
"36RD ST",3
"36TH AVENUE",22
"36th Ave",5905
"36th Rd",1220
"36th St",9556
"37 AV",16
"37 AVE",927
"37 AVENUE",327
"37 ST",430
"37 STREET",75
"37TH DRIVE",2
"37TH ST",40
"37th Ave",38407
"37th Dr",268
"37th Rd",1590
"37th St",9679
"38 AVE",400
"38 AVENUE",50
"38 PL",1
"38 ST",341
"38 STREET",47
"38TH AVE",20
"38TH AVENUE",15
"38TH STREET",28
"38th Ave",8054
"38th St",13157
"39 AVE",412
"39 AVENUE",36
"39 ST",342
"39 STREET",83
"39RD ST",37
"39TH AVE",48
"39TH ST",118
"39TH ST (N/B) @ NORT",2482
"39TH STREET",60
"39th Ave",11623
"39th Dr",73
"39th Pl",933
"39th Rd",59
"39th St",4399
"3RD",219
"3RD AV",163
"3RD AVE",8159
"3RD AVE (N/B) @ 36TH",2742
"3RD AVE (S/B) @ E 13",3286
"3RD AVENUE",1878
"3RD PL",24
"3RD ST",121
"3RD STREET",50
"3TH AVE",198
"3rd Ave",160282
"3rd Pl",745
"3rd St",1802
"4 AVE",1494
"4 AVENUE",481
"4 SOUTH ST",1
"40 AVE",120
"40 RD",103
"40 ST",372
"40 ST.",2
"40TH RD",31
"40TH ROAD",14
"40TH ST",133
"40th Ave",2152
"40th Rd",5117
"40th St",4895
"41 AV",13
"41 AVE",1554
"41 AVENUE",159
"41 ST",738
"41 ST AVE",39
"41 STREET",144
"41ST AVE",369
"41ST RD",2
"41ST ST",102
"41ST STREET",96
"41st Ave",17481
"41st Dr",52
"41st Rd",4536
"41st St",12773
"42 AVE",258
"42 AVENUE",28
"42 ST",565
"42 STREET",142
"42ND STREET",71
"42nd Ave",3119
"42nd Rd",821
"42nd St",7479
"43",9
"43 AVE",920
"43 ST",425
"43 STREET",115
"43RD ST",130
"43RD STREET",113
"43TH AVE",2
"43rd Ave",8221
"43rd Rd",550
"43rd St",9151
"44 AVE",109
"44 DR",24
"44 RD",15
"44 ROAD",2
"44 ST",507
"44 STREET",165
"44ST",3
"44TH ST",121
"44TH STREET",71
"44th Ave",2242
"44th Dr",4118
"44th Rd",1995
"44th St",9491
"45 AVE",228
"45 RD",15
"45 ST",428
"45 STREET",90
"450 ST ANNS AVE",1
"45TH AVENUE",6
"45th Ave",5158
"45th Dr",294
"45th Rd",798
"45th St",8571
"46 AVE",148
"46 ST",483
"46 STREET",93
"46ST",1
"46TH AVE",11
"46TH ST",96
"46TH STREET",51
"46th Ave",2215
"46th Rd",1146
"46th St",8384
"47 AVE",462
"47 AVENUE",40
"47 ST",368
"47 STREET",86
"47TH AV",10
"47TH AVE",111
"47TH AVENUE",56
"47TH ST",102
"47TH STREET",58
"47th Ave",4850
"47th Rd",1464
"47th St",7751
"48 AVE",225
"48 AVENUE",16
"48 ST",384
"48 STREET",139
"48TH AVE",40
"48TH ST",90
"48th Ave",4093
"48th St",6861
"49 AV",29
"49 AVE",130
"49 ST",369
"49 STREET",82
"49TH",4
"49TH AVENUE",11
"49th Ave",1041
"49th Rd",16
"49th St",6498
"4TH",81
"4TH AV",81
"4TH AVE",1748
"4TH AVE (N/B) @ 18TH",543
"4TH AVE (S/B) @ 60TH",1497
"4TH AVENUE",245
"4TH PL",107
"4TH ST",94
"4th Ave",11631
"4th Pl",267
"4th St",1374
"5 AV",39
"5 AVE",3917
"5 AVENUE",609
"5 ST",81
"50 AVE",229
"50 ST",663
"50 STREET",112
"50TH AVE",59
"50TH AVENUE",25
"50TH ST",166
"50th Ave",2481
"50th St",6115
"51 AV",45
"51 AVE",478
"51 ST",527
"51ST ST",90
"51ST STREET",73
"51st Ave",3668
"51st Rd",98
"51st St",4826
"52 AVE",236
"52 DR",11
"52 ST",482
"52 STR",1
"52 STREET",174
"528 EAST 20TH STREET",1
"52ND ST",138
"52ND STREET",94
"52nd Ave",762
"52nd Rd",60
"52nd St",4077
"53 AVE",239
"53 DRIVE",3
"53 ST",397
"53 STREET",100
"53RD ST",188
"53rd Ave",1142
"53rd Dr",180
"53rd Rd",211
"53rd St",4030
"54 AVE",142
"54 ST",427
"54 STREET",126
"54TH STREET",81
"54th Ave",1902
"54th Pl",103
"54th Rd",178
"54th St",3938
"55 AVE",180
"55 ST",438
"55 STREET",114
"55TH",2
"55TH AVE",56
"55TH ST",152
"55TH STREET",55
"55th Ave",3035
"55th Dr",1519
"55th Rd",85
"55th St",3428
"56 AVE",227
"56 DR",99
"56 DRIVE",16
"56 ST",532
"56 STREET",105
"56ST",1
"56TH AV",1
"56TH DR",8
"56TH ST",224
"56TH STREET",76
"56th Ave",2543
"56th Dr",938
"56th Rd",559
"56th St",4848
"57",8
"57 AVE",851
"57 AVENUE",183
"57 DRIVE",9
"57 ST",637
"57 STREET",147
"57TH ST",256
"57TH STREET",135
"57th Ave",2726
"57th Dr",140
"57th Rd",698
"57th St",4204
"58 AVE",178
"58 RD",74
"58 RD ST",1
"58 ST",564
"58 STREET",205
"58RD ST",33
"58TH ST",155
"58TH STREET",90
"58th Ave",1157
"58th Dr",132
"58th Ln",124
"58th Pl",150
"58th Rd",541
"58th St",3190
"59 AVE",272
"59 AVENUE",55
"59 RD",23
"59 ST",512
"59 STREET",108
"59RD ST",33
"59th Ave",987
"59th Dr",87
"59th St",3483
"5TH AV",128
"5TH AVE",6349
"5TH AVE (S/B) @ 40TH",3910
"5TH AVENUE",977
"5TH ST",128
"5th Ave",90707
"5th St",3128
"6",16
"6 AV",46
"6 AVE",2985
"6 AVENUE",218
"6 STREET",26
"60 AVE",172
"60 PL",38
"60 PLACE",16
"60 RD",43
"60 ROAD",13
"60 ST",823
"60 STREET",195
"60TH AVE",35
"60TH ST",147
"60TH STREET",154
"60th Ave",906
"60th Dr",170
"60th Ln",1195
"60th Pl",484
"60th Rd",197
"60th St",3777
"61 AVE",17
"61 ST",976
"61 ST STREET",33
"61 STREET",133
"61ND ST",1
"61ST ST",199
"61ST STREET",283
"61st Ave",55
"61st Rd",189
"61st St",5210
"62 AVE",69
"62 AVENUE",19
"62 DR",72
"62 DRIVE",63
"62 RD",62
"62 ST",433
"62 STREET",156
"62DR",1
"62ND",13
"62ND AVE",7
"62ND ST",171
"62ND STREET",86
"62RD ST",48
"62nd Ave",1176
"62nd Dr",1125
"62nd Rd",492
"62nd St",3860
"63 DR",136
"63 DRIVE",307
"63 RD",284
"63 ROAD",91
"63 ST",416
"63 STREET",150
"63RD",81
"63RD ST",132
"63RD STREET",102
"63rd Ave",1185
"63rd Dr",4187
"63rd Rd",3976
"63rd St",4058
"64 AVE",157
"64 AVENUE",17
"64 LANE",5
"64 PL",57
"64 RD",64
"64 ROAD",23
"64 ST",480
"64 STREET",128
"64TH ST",68
"64th Ave",2280
"64th Ln",122
"64th Pl",395
"64th Rd",2544
"64th St",4906
"65 AVE",180
"65 AVENUE",21
"65 CRESCENT",11
"65 PL",72
"65 PLACE",34
"65 RD",42
"65 ROAD",28
"65 ST",489
"65 STREET",136
"65TH PL",7
"65TH ST",361
"65TH STREET",87
"65th Ave",1574
"65th Pl",998
"65th Rd",1110
"65th St",4382
"66 AVE",120
"66 DR",20
"66 PL",31
"66 RD",53
"66 ST",368
"66ST",5
"66th Ave",1995
"66th Dr",93
"66th Pl",375
"66th Rd",1246
"66th St",3407
"67 AVE",246
"67 AVE 1 FT",1
"67 DRIVE",72
"67 ROAD",36
"67 ST",453
"67 STREET",217
"67TH STREET",51
"67th Ave",2152
"67th Dr",939
"67th Pl",476
"67th Rd",1071
"67th St",3318
"68 AVENUE",36
"68 DR",29
"68 RD",68
"68 ST",329
"68 STREET",106
"68TH AVE",10
"68th Ave",1677
"68th Dr",860
"68th Pl",256
"68th Rd",1144
"68th St",3116
"69 AVE",200
"69 LN",14
"69 PL",185
"69 ST",193
"69 STREET",45
"69TH AVE",18
"69TH RD",7
"69th Ave",2009
"69th Ln",432
"69th Pl",1129
"69th Rd",999
"69th St",3150
"6TH",33
"6TH AV",64
"6TH AVE",2813
"6TH AVENUE",264
"6TH ST",84
"6th Ave",55903
"6th St",2144
"7 AV",29
"7 AVE",3706
"7 AVE S",238
"7 AVENUE",293
"7 ST",128
"70 AVE",134
"70 RD",72
"70 ROAD",8
"70 ST",388
"70 STREET",102
"70th Ave",4820
"70th Dr",48
"70th Rd",3811
"70th St",2903
"71 AV",3
"71 AVE",220
"71 AVENUE",30
"71 CRES",19
"71 CRESCENT",8
"71 ST",344
"71 ST AVE",6
"71 STREET",95
"71ST STREET",27
"71st Ave",7164
"71st Cres",41
"71st Dr",66
"71st Pl",156
"71st Rd",3571
"71st St",3289
"72 AVE",72
"72 PL",36
"72 ROAD",8
"72 ST",281
"72 STREET",104
"72ND AVE",16
"72ND ST",72
"72ND STREET",37
"72nd Ave",2234
"72nd Cres",38
"72nd Dr",695
"72nd Pl",215
"72nd Rd",1706
"72nd St",4127
"72nd St Transverse",9
"73 ST",365
"73 STREET",143
"73 STRET",1
"73RD ST",119
"73rd Ave",1328
"73rd Pl",435
"73rd Rd",1066
"73rd St",4649
"73rd Ter",94
"74 PLACE",7
"74 ST",343
"74 STREET",103
"74TH ST",86
"74th Ave",485
"74th Pl",116
"74th St",8997
"75 AV",4
"75 AVE",97
"75 AVENUE",14
"75 ST",177
"75 STREET",42
"759 E 198 STREET.",1
"75TH RD",3
"75TH ROAD",3
"75th Ave",1829
"75th Rd",811
"75th St",3773
"76 AVE",158
"76 AVENUE",36
"76 ROAD",29
"76 ST",526
"76 STREET",187
"76RD",2
"76TH STREET",34
"76th Ave",1527
"76th Dr",176
"76th Rd",1868
"76th St",6225
"77 RD",41
"77 ST",437
"77 STREET",187
"77TH ST",54
"77TH STREET",57
"77th Ave",2865
"77th Pl",43
"77th Rd",709
"77th St",5113
"78 AVE",92
"78 RD",43
"78 ST",682
"78 STREET",138
"78TH ST",48
"78TH STREET",58
"78th Ave",2788
"78th Cres",489
"78th Dr",81
"78th Rd",732
"78th St",5865
"79 AVE",45
"79 PLACE",7
"79 ST",443
"79 STREET",129
"79TH ST",83
"79TH STREET",66
"79th Ave",825
"79th Ln",102
"79th Pl",198
"79th St",5840
"7AVE",8
"7TH",59
"7TH  AVE",4
"7TH AVE",4399
"7TH AVE SOUTH",34
"7TH AVE0",1
"7TH AVENUE",436
"7TH ST",93
"7TH STREET",38
"7th Ave",66543
"7th Ave S",3129
"7th St",1664
"8 AVE",5022
"8 AVENEU",1
"8 AVENUE",412
"8 STREET",17
"80 AVE",53
"80 ST",481
"80 STREET",88
"80TH ST",58
"80th Ave",115
"80th Dr",50
"80th Rd",419
"80th St",6216
"81 AVE",27
"81 ST",458
"81 STREET",88
"81st Ave",553
"81st St",5678
"82 ST",437
"82 STREET",106
"82ND",2
"82ND AVE",61
"82ND AVENUE",101
"82ND ST",61
"82ND STREET",24
"82nd Ave",1515
"82nd Dr",202
"82nd Pl",22
"82nd Rd",1663
"82nd St",12420
"83 PL",14
"83 ST",535
"83RD ST",89
"83rd Ave",1781
"83rd Dr",100
"83rd Pl",45
"83rd Rd",25
"83rd St",7267
"84 AVE",50
"84 DRIVE",26
"84 PLACE",8
"84 ST",453
"84 STREET",111
"84th Ave",950
"84th Dr",1470
"84th Pl",37
"84th Rd",641
"84th St",5328
"85 AVE",82
"85 DRIVE",16
"85 RD",56
"85 ST",499
"85 STREET",131
"85TH",3
"85TH AVE",27
"85TH ST",91
"85TH STREET",44
"85th Ave",1700
"85th Dr",714
"85th Rd",803
"85th St",7202
"86 AVE",82
"86 ST",2935
"86 ST STREET",77
"86 STREET",481
"86ST ST",16
"86ST STREET",812
"86TH ROAD",4
"86TH ST",270
"86TH ST (E/B) @ 7TH",914
"86TH STREET",437
"86th Ave",1381
"86th Dr",358
"86th Rd",726
"86th St",16334
"87 AVENUE",12
"87 DR",29
"87 DRIVE",9
"87 ST",177
"87 STREET",83
"87TH RD",4
"87TH ROAD",2
"87th Ave",1430
"87th Dr",165
"87th Rd",817
"87th St",5332
"88 AVE",152
"88 AVENUE",29
"88 DRIVE",2
"88 ST",243
"88 STREET",119
"88th Ave",3943
"88th Rd",229
"88th St",3575
"89 AVE",234
"89 AVENUE",28
"89 ST",174
"89TH AVE",49
